"id","price","type","rooms","neighborhood","suites","bathrooms","garages","private_area","total_area"
590,265000,"Apartamento",2,"Jardim Concórdia",0,1,1,60.37,0
591,265000,"Apartamento",2,"Vila Industrial",0,1,1,57.57,0
592,205000,"Casa",2,"Pinheirinho",0,1,1,49.29,72.3
593,265000,"Apartamento",2,"Vila Industrial",0,1,1,56.82,0
594,560000,"Casa",3,"Vila Becker",1,2,2,180,118
595,285000,"Apartamento",2,"Vila Industrial",0,1,1,56.82,0
596,265000,"Apartamento",2,"Vila Industrial",0,1,1,56.82,0
597,225000,"Apartamento",2,"Jardim Europa",0,1,1,65,0
598,285000,"Apartamento",2,"Vila Industrial",0,1,1,57.57,0
599,285000,"Apartamento",2,"Vila Industrial",0,1,1,55.79,0
600,365000,"Casa",3,"Jardim Pancera",1,2,1,74,115
601,360000,"Casa",3,"Jardim Gisela",0,1,1,119.64,289.96
602,285000,"Apartamento",2,"Vila Industrial",0,1,1,56.82,0
603,560000,"Casa",3,"Vila Becker",1,2,1,118,180
604,205000,"Casa",2,"Pinheirinho",0,1,1,49.29,73.3
605,385000,"Casa",3,"Jardim Pancera",1,2,1,74,156
606,495000,"Casa",2,"Jardim Coopagro",0,1,1,166.32,336
607,355000,"Apartamento",2,"Vila Industrial",1,2,1,72.04,0
608,270000,"Casa",3,"Residencial Santa Clara",1,3,3,180,250
609,380000,"Apartamento",2,"Vila Industrial",1,2,1,72.04,0
610,355000,"Apartamento",2,"Vila Industrial",1,2,1,72.04,0
611,750000,"Apartamento",3,"Centro",3,4,2,161.37,0
612,294946,"Apartamento",2,"Jardim Filadélpia",0,1,1,64.04,0
613,365000,"Apartamento",2,"Vila Industrial",1,2,1,72.04,0
614,345236,"Apartamento",2,"Jardim Filadélpia",1,2,1,71.22,0
615,303101,"Apartamento",2,"Jardim Filadélpia",0,1,1,64.04,0
616,307179,"Apartamento",2,"Jardim Filadélpia",0,1,1,64.04,0
617,390000,"Apartamento",2,"Vila Industrial",1,2,1,72.04,0
618,303101,"Apartamento",2,"Jardim Filadélpia",0,1,1,64.04,0
619,379000,"Apartamento",2,"Jardim Gisela",1,2,1,70,0
